 ,  ,performance
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.875
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9090909090909091
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8333333333333334
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8888888888888888
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8888888888888888
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.9230769230769231
0:00,precision,1.0
0:00,recall,1.0
0:00,savedEffort,0.8888888888888888
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9090909090909091
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9166666666666666
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9
6:00,precision,0.5
6:00,recall,1.0
6:00,savedEffort,0.8181818181818182
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9166666666666666
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.9285714285714286
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.875
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.8333333333333334
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.75
6:00,precision,0.14285714285714285
6:00,recall,1.0
6:00,savedEffort,0.0
6:00,precision,1.0
6:00,recall,1.0
6:00,savedEffort,0.6
6:00,precision,0.0
6:00,recall,0.0
6:00,savedEffort,1.0
6:00,precision,1.0
6:00,recall,1.0
